#stamp,total,nocaps,caps
2018-05-11,260,260,0
2018-05-17,270,270,0
2018-05-18,270,270,0
2018-05-19,270,270,0
2018-05-20,270,270,0
2018-05-21,270,270,0
2018-05-22,280,280,0
2018-05-23,280,280,0
2018-05-24,280,280,0
2018-05-25,280,280,0
2018-05-26,280,280,0
2018-05-27,280,280,0
2018-05-28,280,280,0
2018-05-29,290,290,0
2018-05-30,290,290,0
2018-05-31,290,290,0
2018-06-01,290,290,0
2018-06-02,290,290,0
2018-06-03,290,290,0
2018-06-04,290,290,0
2018-06-05,290,290,0
2018-06-06,290,290,0
2018-06-07,290,290,0
2018-06-08,290,290,0
2018-06-09,290,290,0
2018-06-10,290,290,0
2018-06-11,290,290,0
2018-06-12,290,290,0
2018-06-13,290,290,0
2018-06-14,290,290,0
2018-06-15,290,290,0
2018-06-16,300,300,0
2018-06-17,300,300,0
2018-06-18,300,300,0
2018-06-19,300,300,0
2018-06-20,300,300,0
2018-06-21,300,300,0
2018-06-22,300,300,0
2018-06-23,300,300,0
2018-06-24,300,300,0
2018-06-25,300,300,0
2018-06-26,300,300,0
2018-06-27,300,300,0
2018-06-29,300,300,0
2018-06-30,300,300,0
2018-07-01,300,300,0
2018-07-02,300,300,0
2018-07-03,300,300,0
2018-07-04,300,300,0
2018-07-05,300,300,0
2018-07-06,300,300,0
2018-07-07,300,300,0
2018-07-08,300,300,0
2018-07-09,300,300,0
2018-07-10,295,295,0
2018-07-11,296,296,0
2018-07-12,296,296,0
2018-07-13,297,297,0
2018-07-14,301,301,0
2018-07-15,301,301,0
2018-07-16,301,301,0
2018-07-17,301,301,0
2018-07-18,301,301,0
2018-07-19,300,300,0
2018-07-20,301,301,0
2018-07-21,301,301,0
2018-07-22,301,301,0
2018-07-23,302,302,0
2018-07-24,302,302,0
2018-07-25,303,303,0
2018-07-26,304,304,0
2018-07-27,305,305,0
2018-07-28,305,305,0
2018-07-29,306,306,0
2018-07-30,307,307,0
2018-07-31,307,307,0
2018-08-01,307,307,0
2018-08-02,307,307,0
2018-08-03,308,308,0
2018-08-04,308,308,0
2018-08-05,308,308,0
2018-08-06,308,308,0
2018-08-07,309,309,0
2018-08-08,308,308,0
2018-08-09,309,309,0
2018-08-10,309,309,0
2018-08-11,308,308,0
2018-08-12,308,308,0
2018-08-13,308,308,0
2018-08-14,309,309,0
2018-08-15,310,310,0
2018-08-16,310,310,0
2018-08-17,312,312,0
2018-08-18,311,311,0
2018-08-19,311,311,0
2018-08-20,311,311,0
2018-08-21,309,309,0
2018-08-22,316,316,0
2018-08-23,316,316,0
2018-08-24,316,316,0
2018-08-25,316,316,0
2018-08-26,317,317,0
2018-08-27,323,323,0
2018-08-28,323,323,0
2018-08-29,324,324,0
2018-08-30,326,326,0
2018-08-31,327,327,0
2018-09-01,327,327,0
2018-09-02,328,328,0
2018-09-03,328,328,0
2018-09-04,327,327,0
2018-09-05,331,331,0
2018-09-06,330,330,0
2018-09-07,331,331,0
2018-09-08,331,331,0
2018-09-09,331,331,0
2018-09-10,332,332,0
2018-09-11,332,332,0
2018-09-12,333,333,0
2018-09-13,333,333,0
2018-09-14,333,333,0
2018-09-15,333,333,0
2018-09-16,333,333,0
2018-09-17,333,333,0
2018-09-18,334,334,0
2018-09-19,334,334,0
2018-09-20,334,334,0
2018-09-21,335,335,0
2018-09-22,335,335,0
2018-09-23,336,336,0
2018-09-24,337,337,0
2018-09-25,339,339,0
2018-09-26,342,342,0
2018-09-27,342,342,0
2018-09-28,342,342,0
2018-09-29,344,344,0
2018-09-30,345,345,0
2018-10-01,345,345,0
2018-10-02,345,345,0
2018-10-03,347,347,0
2018-10-04,348,348,0
2018-10-05,350,350,0
2018-10-06,351,351,0
2018-10-07,355,355,0
2018-10-08,359,359,0
2018-10-09,372,372,0
2018-10-10,374,374,0
2018-10-11,374,374,0
2018-10-12,375,375,0
2018-10-13,375,375,0
2018-10-14,375,375,0
2018-10-15,375,375,0
2018-10-16,378,378,0
2018-10-17,378,378,0
2018-10-18,378,378,0
2018-10-19,379,379,0
2018-10-20,379,379,0
2018-10-21,381,381,0
2018-10-22,381,381,0
2018-10-23,383,383,0
2018-10-24,383,383,0
2018-10-25,383,383,0
2018-10-26,383,383,0
2018-10-27,383,383,0
2018-10-28,383,383,0
2018-10-29,382,382,0
2018-10-30,382,382,0
2018-10-31,381,381,0
2018-11-01,381,381,0
2018-11-02,382,382,0
2018-11-03,382,382,0
2018-11-04,382,382,0
2018-11-05,382,382,0
2018-11-06,382,382,0
2018-11-07,383,383,0
2018-11-08,383,383,0
2018-11-09,384,384,0
2018-11-10,384,384,0
2018-11-11,384,384,0
2018-11-12,386,386,0
2018-11-13,386,386,0
2018-11-14,387,387,0
2018-11-15,387,387,0
2018-11-16,391,391,0
2018-11-17,390,390,0
2018-11-18,390,390,0
2018-11-19,390,390,0
2018-11-20,391,391,0
2018-11-21,391,391,0
